Latitude,Longitude,mean_U,mean_V,Speed,unit_U,unit_V
16.8734,-67.49,-0.006666667,-0.033333333,0.033993463,-0.196116135,-0.980580676
16.8734,-67.4343,-0.057192982,-0.028245614,0.063787553,-0.896616652,-0.44280761
16.8734,-67.3786,-0.11125,-0.00525,0.111373808,-0.998888361,-0.047138552
16.8734,-67.3228,-0.109361702,0.009929078,0.109811513,-0.995903787,0.09041928
16.8734,-67.2671,-0.107288889,-0.012933333,0.108065613,-0.992812473,-0.119680377
16.8734,-67.2113,-0.125816733,-0.016055777,0.126837054,-0.991955655,-0.126585855
16.8734,-67.1556,-0.133118644,-0.032,0.136910823,-0.972301834,-0.233728783
16.8734,-67.0999,-0.154564565,-0.034474474,0.15836254,-0.976017212,-0.217693367
16.8734,-67.0441,-0.165841837,-0.049744898,0.173141762,-0.95783845,-0.287307334
16.8734,-66.9884,-0.15972973,-0.061547912,0.171177487,-0.933123466,-0.359556112
16.8734,-66.9326,-0.161365741,-0.068032407,0.175120846,-0.921453638,-0.388488343
